L,a,b,M,pre,label
65.43166667,6.043333333,16.09333333,29.13713983,98.72446101,98.37437276
63.91333333,6.056666667,15.29166667,31.56284731,99.00384335,97.73414431
66.785,5.291666667,13.78666667,28.04569586,99.40413465,97.66862289
62.99166667,6.951666667,14.79333333,32.85957187,97.78379676,98.02347688
62.54666667,7.286666667,15.73,30.02875046,98.51981489,98.67878187
65.87666667,6.563333333,16.58,29.26238332,99.35807237,98.55262515
68.90833333,5.345,13.09333333,26.38913519,99.10383473,97.39261005
65.43166667,6.043333333,16.09333333,29.13713983,98.65694713,98.11707389
63.91333333,6.056666667,15.29166667,31.56284731,98.68178705,97.99144318
66.785,5.291666667,13.78666667,28.04569586,99.3319948,97.79727232
62.99166667,6.951666667,14.79333333,32.85957187,98.0532541,98.28077575
63.91333333,6.056666667,15.29166667,31.56284731,97.79155246,97.79846903
62.99166667,6.951666667,14.79333333,32.85957187,99.14680648,97.89482745
68.90833333,5.345,13.09333333,26.38913519,99.64294377,97.52125948
47.20166667,9.211666667,17.365,53.11687485,99.49741607,98.8
69.24833333,5.771666667,10.56,25.11360683,97.6525793,97.4
65.43166667,6.043333333,16.09333333,29.13713983,98.0752609,97.3
71.935,3.153333333,10.12,26.5160182,98.40147029,98
62.93166667,6.643333333,18.34666667,32.59506678,97.85284695,98
68.90833333,5.345,13.09333333,26.38913519,97.73057196,97.4
67.065,5.838333333,14.10166667,28.84552072,97.47955479,98.3
75.85166667,2.153333333,11.06166667,22.44704563,99.75517665,98.1
65.43166667,6.043333333,16.09333333,29.13713983,98.94382643,98.37437276
62.99166667,6.951666667,14.79333333,32.85957187,98.3860679,98.02347688
63.91333333,6.056666667,15.29166667,31.56284731,98.51626978,97.73414431
65.87666667,6.563333333,16.58,29.26238332,99.24923773,98.55262515
63.87394023,6.655729059,14.18413906,38.30050297,93.94579888,98.35688159
65.48839424,4.151624823,17.07119807,37.01110595,98.96881723,96.804474
65.58349548,6.864468139,15.65858037,36.93515256,99.30174112,97.98034861
59.21511488,7.603332658,14.25063204,42.02131229,100.4112878,97.89854177
