L,a,b,M,O,label
65.43166667,6.043333333,16.09333333,29.13713983,98.33333333,97.3
66.785,5.291666667,13.78666667,28.04569586,98.33333333,97.9
69.43333333,4.596666667,14.36833333,25.78074829,96,98
68.90833333,5.345,13.09333333,26.38913519,99.66666667,97.4
67.535,5.425,13.135,28.90415751,95.67,97.8
62.99166667,6.951666667,14.79333333,32.85957187,99.33333333,98.1
63.815,7.356666667,14.365,31.37461656,99.3,97.8
67.065,5.838333333,14.10166667,28.84552072,97.67,98.3
62.93166667,6.643333333,18.34666667,32.59506678,98.33333333,98
63.91333333,6.056666667,15.29166667,31.56284731,98.66666667,97.2
65.87666667,6.563333333,16.58,29.26238332,97,98.1
62.54666667,7.286666667,15.73,30.02875046,99,98.3
68.60833333,5.576666667,11.46333333,27.20252071,97.66666667,98.8
66.865,6.135,16.28333333,27.74391972,98.66666667,98.1
68.47,5.71,12.5,26.96933587,99,97.5
53.205,8.661666667,19.04333333,43.75683421,99.66666667,98.1
41.9,9.351666667,14.74,62.43770237,99.33333333,97.8
65.22888889,6.526666667,14.34444444,29.27469084,99,98.4
44.10833333,10.69,17.98166667,55.1310853,100,98
47.20166667,9.211666667,17.365,53.11687485,100,98.8
71.935,3.153333333,10.12,26.5160182,100,98
74.246,3.392,9.98,22.54546499,99.33333333,97.9
71.75,3.445,12.005,25.67821277,99,98.8
75.85166667,2.153333333,11.06166667,22.44704563,97,98.1
73.22,3.978333333,13.69666667,22.44542743,99.66666667,98.3
69.24833333,5.771666667,10.56,25.11360683,97,97.4
