L,G,B,I,Label (L)
55.16666667,132,125.5,320,65.43166667
56.5,133,125.8333333,260,66.785
55.33333333,130.3333333,122.8333333,320,69.43333333
64.83333333,156.8333333,151.8333333,285,68.90833333
61.33333333,146.1666667,138.1666667,320,67.535
59.66666667,138,124,320,63.815
53.5,124,114.8333333,205,67.065
57.83333333,133,122.5,320,62.93166667
57.5,137,127.6666667,325,63.91333333
57.16666667,134.3333333,128.3333333,320,65.87666667
47.33333333,110,93.66666667,240,62.54666667
59,139.1666667,129.8333333,200,68.60833333
55.5,132.1666667,126.6666667,225,66.865
59,138.8333333,131.3333333,225,68.47
55.33333333,128.8333333,121,260,65.22888889
47.5,111.1666667,94.5,500,44.10833333
51.83333333,121.3333333,106.3333333,450,47.20166667
59.66666667,141,137.3333333,320,71.935
63,148,143.8333333,225,74.246
58,136.3333333,133,260,71.75
61.33333333,146.1666667,142.5,240,75.85166667
67,158.8333333,155,285,73.22
67.16666667,156,152.6666667,640,69.24833333
