b,G,B,I,Label (b)
4.666666667,119.6666667,118.1666667,320,16.09333333
6,133,125.8333333,260,13.78666667
5.833333333,130.3333333,122.8333333,320,14.36833333
3.833333333,156.8333333,151.8333333,285,13.09333333
6.833333333,146.1666667,138.1666667,320,13.135
7.833333333,147.1666667,138.3333333,250,14.79333333
12.5,138,124,320,14.365
8.666666667,124,114.8333333,205,14.10166667
10.16666667,133,122.5,320,18.34666667
7,137,127.6666667,325,15.29166667
5.833333333,134.3333333,128.3333333,320,16.58
8,110,93.66666667,240,15.73
8.333333333,139.1666667,129.8333333,200,11.46333333
5,132.1666667,126.6666667,225,16.28333333
7.333333333,138.8333333,131.3333333,225,12.5
10.5,122.5,108.8333333,360,19.04333333
7.166666667,96.33333333,87.83333333,360,14.74
7.833333333,128.8333333,121,260,14.34444444
12,111.1666667,94.5,500,17.98166667
11.33333333,121.3333333,106.3333333,450,17.365
4.166666667,141,137.3333333,320,10.12
5.166666667,148,143.8333333,225,9.98
4.333333333,136.3333333,133,260,12.005
3.833333333,146.1666667,142.5,240,11.06166667
5.166666667,158.8333333,155,285,13.69666667
6.166666667,156,152.6666667,640,10.56
