L,G,B,V,Label (L)
41.66666667,90,78.66666667,49.66666667,65.43166667
61.66666667,139,126.3333333,70.33333333,69.43333333
78,187.3333333,163.3333333,86,68.90833333
61,143.6666667,134.6666667,63.33333333,67.535
46.33333333,108,103,46.33333333,62.99166667
66.33333333,151.3333333,128.3333333,75.33333333,63.815
55.66666667,129,116.6666667,60,67.065
49,109.6666667,95,55.66666667,62.93166667
50.33333333,114.6666667,98,55.66666667,65.87666667
59,136.3333333,118.3333333,64.66666667,62.54666667
49.33333333,110.6666667,104.3333333,54.66666667,66.865
53.66666667,120.6666667,115.3333333,61.33333333,68.47
29,62.66666667,59,34.33333333,53.205
32,71,63.66666667,37.33333333,41.9
58.66666667,135,122.6666667,62.33333333,67.145
37,83.33333333,73,41.33333333,44.10833333
34,74.66666667,63,37.66666667,47.20166667
61.66666667,142,135.3333333,68.33333333,71.935
48,101,81.66666667,60,74.246
63.33333333,146.6666667,135,70.66666667,71.75
52.33333333,120,108,56.66666667,75.85166667
43,91.33333333,70.33333333,52.66666667,73.22
54.33333333,117,100.3333333,65.33333333,69.24833333
