L,G,B,V,Label (L)
14.66666667,90,78.66666667,49.66666667,6.043333333
12.33333333,152,136.6666667,73.66666667,5.291666667
14.66666667,139,126.3333333,70.33333333,4.596666667
9,187.3333333,163.3333333,86,5.345
3.666666667,108,103,46.33333333,6.951666667
13.33333333,151.3333333,128.3333333,75.33333333,7.356666667
7.666666667,129,116.6666667,60,5.838333333
11.33333333,109.6666667,95,55.66666667,6.643333333
8.333333333,151,129,70.33333333,6.056666667
9.333333333,114.6666667,98,55.66666667,6.563333333
9.333333333,136.3333333,118.3333333,64.66666667,7.286666667
15.66666667,155,122.6666667,79.66666667,5.576666667
10.33333333,110.6666667,104.3333333,54.66666667,6.135
13.66666667,120.6666667,115.3333333,61.33333333,5.71
10.66666667,62.66666667,59,34.33333333,8.661666667
8.333333333,135,122.6666667,62.33333333,5.333333333
8.333333333,83.33333333,73,41.33333333,10.69
8.333333333,74.66666667,63,37.66666667,9.211666667
12,142,135.3333333,68.33333333,3.153333333
19.66666667,101,81.66666667,60,3.392
11.33333333,146.6666667,135,70.66666667,3.445
8.666666667,120,108,56.66666667,2.153333333
16.33333333,91.33333333,70.33333333,52.66666667,3.978333333
19.33333333,117,100.3333333,65.33333333,5.771666667
