L,G,B,V,Label (L)
12.66666667,90,78.66666667,49.66666667,16.09333333
17,187.3333333,163.3333333,86,13.09333333
7.666666667,143.6666667,134.6666667,63.33333333,13.135
4.333333333,108,103,46.33333333,14.79333333
18.66666667,151.3333333,128.3333333,75.33333333,14.365
10.33333333,129,116.6666667,60,14.10166667
14,109.6666667,95,55.66666667,18.34666667
13.66666667,114.6666667,98,55.66666667,16.58
14,136.3333333,118.3333333,64.66666667,15.73
24.66666667,155,122.6666667,79.66666667,11.46333333
8,110.6666667,104.3333333,54.66666667,16.28333333
9,120.6666667,115.3333333,61.33333333,12.5
7,62.66666667,59,34.33333333,19.04333333
8.666666667,71,63.66666667,37.33333333,14.74
10.33333333,135,122.6666667,62.33333333,12.735
9.666666667,83.33333333,73,41.33333333,17.98166667
10.66666667,74.66666667,63,37.66666667,17.365
8.333333333,142,135.3333333,68.33333333,10.12
20,101,81.66666667,60,9.98
11.33333333,146.6666667,135,70.66666667,12.005
10.33333333,120,108,56.66666667,11.06166667
19.33333333,91.33333333,70.33333333,52.66666667,13.69666667
17.66666667,117,100.3333333,65.33333333,10.56
